Month,Value
2004-01,0
2004-02,0
2004-03,8
2004-04,36
2004-05,48
2004-06,60
2004-07,63
2004-08,35
2004-09,35
2004-10,23
2004-11,15
2004-12,8
2005-01,16
2005-02,13
2005-03,19
2005-04,30
2005-05,53
2005-06,70
2005-07,41
2005-08,43
2005-09,33
2005-10,20
2005-11,12
2005-12,5
2006-01,6
2006-02,15
2006-03,28
2006-04,36
2006-05,65
2006-06,71
2006-07,72
2006-08,36
2006-09,37
2006-10,26
2006-11,12
2006-12,11
2007-01,18
2007-02,14
2007-03,37
2007-04,76
2007-05,57
2007-06,51
2007-07,33
2007-08,24
2007-09,17
2007-10,18
2007-11,9
2007-12,10
2008-01,10
2008-02,11
2008-03,17
2008-04,28
2008-05,59
2008-06,51
2008-07,56
2008-08,29
2008-09,16
2008-10,14
2008-11,7
2008-12,5
2009-01,11
2009-02,8
2009-03,13
2009-04,43
2009-05,38
2009-06,34
2009-07,25
2009-08,23
2009-09,13
2009-10,11
2009-11,9
2009-12,5
2010-01,7
2010-02,7
2010-03,12
2010-04,32
2010-05,28
2010-06,37
2010-07,36
2010-08,18
2010-09,17
2010-10,15
2010-11,8
2010-12,9
2011-01,7
2011-02,8
2011-03,13
2011-04,35
2011-05,40
2011-06,45
2011-07,30
2011-08,27
2011-09,14
2011-10,11
2011-11,13
2011-12,9
2012-01,7
2012-02,10
2012-03,18
2012-04,24
2012-05,36
2012-06,39
2012-07,30
2012-08,17
2012-09,16
2012-10,14
2012-11,11
2012-12,9
2013-01,10
2013-02,9
2013-03,15
2013-04,32
2013-05,45
2013-06,51
2013-07,49
2013-08,31
2013-09,19
2013-10,17
2013-11,14
2013-12,9
2014-01,11
2014-02,9
2014-03,19
2014-04,41
2014-05,41
2014-06,53
2014-07,38
2014-08,24
2014-09,26
2014-10,14
2014-11,18
2014-12,9
2015-01,10
2015-02,10
2015-03,20
2015-04,33
2015-05,52
2015-06,56
2015-07,39
2015-08,22
2015-09,20
2015-10,16
2015-11,14
2015-12,11
2016-01,11
2016-02,10
2016-03,17
2016-04,40
2016-05,60
2016-06,63
2016-07,61
2016-08,35
2016-09,26
2016-10,16
2016-11,12
2016-12,8
2017-01,8
2017-02,10
2017-03,23
2017-04,53
2017-05,62
2017-06,68
2017-07,48
2017-08,27
2017-09,21
2017-10,18
2017-11,12
2017-12,8
2018-01,9
2018-02,9
2018-03,17
2018-04,53
2018-05,91
2018-06,100
2018-07,83
2018-08,46
2018-09,30
2018-10,20
2018-11,12
2018-12,10
2019-01,14
2019-02,21
2019-03,31
2019-04,60
2019-05,72
2019-06,98
2019-07,69
2019-08,41
2019-09,25
2019-10,20
2019-11,14
2019-12,10
2020-01,12
2020-02,15
2020-03,25
2020-04,56
2020-05,90
2020-06,83
2020-07,62
2020-08,41
2020-09,23
2020-10,13
2020-11,15
2020-12,8
2021-01,11
2021-02,15
2021-03,24
2021-04,47
2021-05,58
2021-06,70
2021-07,45
2021-08,29
2021-09,24
2021-10,19
2021-11,12
2021-12,9
2022-01,14
2022-02,15
2022-03,27
2022-04,47
2022-05,74
2022-06,83
2022-07,61
2022-08,33
2022-09,25
2022-10,19
2022-11,14
2022-12,12
2023-01,11
2023-02,16
2023-03,28
2023-04,48
2023-05,74
